fullVisitorId,signup_date
882813338237742089,2017-03-07
7302681792212338667,2017-03-06
0266303675030523109,2017-02-22
3097093332457734291,2017-03-07
9155224690531283117,2017-03-06
5490543859554723593,2017-03-06
6978388731787986454,2017-03-06
1665709125870020130,2017-03-06
5999152552857919261,2017-03-07
3819023439281686387,2017-03-06
0535542126588809388,2016-08-09
8222978853768881873,2016-08-09
0769560476351515188,2016-08-08
4309363468347582056,2016-08-03
4094323732111547551,2016-08-10
5767962125096834176,2016-08-09
7908741823978122918,2016-08-09
7693430904622520313,2016-08-09
1114089314574272334,2016-08-09
4504407343739885408,2016-08-04
1745165647970575214,2016-08-09
9467907181171363558,2016-08-09
3233737479010171563,2016-08-10
9594822391755080527,2016-08-09
5102669034091578176,2016-08-09
972494325028104694,2016-08-09
603216605177872226,2016-08-10
5227622629510718214,2016-08-10
0157996692633479565,2016-08-09
6122199314324984852,2016-08-09
8347947067070194647,2016-08-09
4056799887692129654,2016-08-09
4032531863082220949,2016-08-09
4129704613837138766,2016-08-09
3339677805990521681,2016-08-09
9107770880286703228,2016-08-09
6962724165650318256,2016-08-09
5628814321573016471,2016-08-09
4040252458140209175,2016-08-09
3838255246461450212,2016-08-09
4840143831067925799,2016-08-10
1018879177082709539,2016-08-09
5212958594789858211,2016-08-10
5140092881076751235,2016-08-09
2112155667931263358,2016-08-09
4441539297947098331,2016-08-09
6438773915538733905,2016-08-09
8843025310060521600,2016-08-03
